JunctionID,DeviceID,IP,Port,LinksNum,Channels,GroupNum
10043,10043,192.168.14.168,10043,8,"{1: [2, 3, 7, 8], 2: [5, 6, 11, 12]}"
10044,10044,192.168.14.168,10044,8,"{1: [2, 3, 7, 8], 2: [5, 6, 11, 12]}"
10045,10045,192.168.14.168,10045,8,"{1: [2, 3, 7, 8], 2: [5, 6, 11, 12]}"
10046,10046,192.168.14.168,10046,13,"{1: [2, 3, 4, 10, 11, 12, 13, 14], 2: [6, 7, 8, 16, 17]}"
10047,10047,192.168.14.168,10047,10,"{1: [2, 3, 4, 9, 10, 11], 2: [6, 7, 13, 14]}"
10048,10048,192.168.14.168,10048,10,"{1: [2, 3, 4, 9, 10, 11], 2: [6, 7, 13, 14]}"
10049,10049,192.168.14.168,10049,22,"{1: [1, 2, 3, 4, 12, 13, 14, 15], 2: [9, 10, 11, 20, 21, 22], 3: [5, 6, 7, 8, 16, 17, 18, 19]}"
10050,10050,192.168.14.168,10050,11,"{1: [2, 3, 4, 510, 11, 12, 13], 2: [7, 8, 15, 16]}"
10051,10051,192.168.14.168,10051,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 8, 14, 15, 16]}"
10052,10052,192.168.14.168,10052,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 8, 14, 15, 16]}"
10053,10053,192.168.14.168,10053,18,"{1: [1, 2, 3, 4, 10, 11, 12, 13], 2: [5, 14], 3: [6, 7, 8, 9, 15, 16, 17, 18]}"
10054,10054,192.168.14.168,10054,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 14, 15], 4: [8, 16]}"
10055,10055,192.168.14.168,10055,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 8, 14, 15, 16]}"
10056,10056,192.168.14.168,10056,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 8, 14, 15, 16]}"
10057,10057,192.168.14.168,10057,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 13], 3: [6, 7, 8, 14, 15, 16]}"
10058,10058,192.168.14.168,10058,16,"{1: [1, 2, 3, 4, 5, 9, 10, 11, 12, 13], 2: [6, 7, 8, 14, 15, 16]}"
10059,10059,192.168.14.168,10059,17,"{1: [1, 2, 3, 4, 5, 6, 7, 8], 2: [9, 10, 11, 12, 13, 14, 15, 16, 17]}"
10060,10060,192.168.14.168,10060,13,"{1: [1, 2, 3, 4, 5], 2: [6, 7, 8, 9, 10, 11, 12, 13]}"
10061,10061,192.168.14.168,10061,8,"{1: [1, 2, 3, 4], 2: [5, 6, 7, 8]}"
10062,10062,192.168.14.168,10062,15,"{1: [1, 2, 3, 4, 5, 6], 2: [7, 8, 9], 3: [11, 12, 13, 14, 15], 5: [10]}"
10063,10063,192.168.14.168,10063,18,"{1: [1, 2, 3, 4], 2: [10, 11, 17, 18], 3: [5, 6, 7, 8], 4: [12, 13, 14, 15, 16], 5: [9]}"
10064,10064,192.168.14.168,10064,11,"{1: [1, 2, 3, 4, 5], 2: [6, 7, 8, 9, 10, 11]}"
10065,10065,192.168.14.168,10065,11,"{1: [1, 2, 3], 2: [4, 5, 6, 8, 9, 10], 3: [7, 11]}"
10066,10066,192.168.14.168,10066,12,"{1: [1, 2, 7, 8], 2: [3, 9], 3: [4, 5, 10, 11], 4: [6, 12]}"
10067,10067,192.168.14.168,10067,11,"{1: [1, 2, 3, 4, 5, 6, 7, 8], 2: [9, 10, 11]}"
10068,10068,192.168.14.168,10068,12,"{1: [1, 2, 7, 8], 2: [3, 9], 3: [4, 5, 10, 11], 4: [6, 12]}"
10069,10069,192.168.14.168,10069,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 7, 8, 13, 14, 15, 16]}"
10070,10070,192.168.14.168,10070,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 7, 8, 13, 14, 15, 16]}"
10071,10071,192.168.14.168,10071,15,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 13, 14, 15], 3: [16, 17]}"
10072,10072,192.168.14.168,10072,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 7, 8, 13, 14, 15, 16]}"
10073,10073,192.168.14.168,10073,14,"{1: [1, 2, 3, 8, 9, 10], 2: [4, 5, 6, 11, 12, 13], 3: [7, 14]}"
10074,10074,192.168.14.168,10074,13,"{1: [5, 6, 7, 8, 9], 2: [1, 2, 3, 4], 3: [10, 11, 12, 13]}"
10075,10075,192.168.14.168,10075,11,"{1: [4, 5, 6, 7, 8], 2: [1, 2, 3, 9, 10, 11]}"
10076,10076,192.168.14.168,10076,8,"{1: [1, 2, 3, 4, 5], 2: [6, 7, 8]}"
10077,10077,192.168.14.168,10077,14,"{1: [1, 2, 3, 4, 11, 12, 13, 14], 2: [5, 6, 7, 8, 9, 10]}"
10078,10078,192.168.14.168,10078,17,"{1: [1, 2, 3, 9, 10, 11, 12], 2: [4, 5, 6, 7, 8, 13, 14, 15, 16, 17]}"
10079,10079,192.168.14.168,10079,12,"{1: [1, 2, 3, 4, 5, 6, 7, 8], 2: [9, 10, 11, 12]}"
10080,10080,192.168.14.168,10080,11,"{1: [2, 9, 10], 2: [3, 11, 12], 3: [5, 6, 14], 4: [7, 15]}"
10081,10081,192.168.14.168,10081,12,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6, 10, 11, 12]}"
10082,10082,192.168.14.168,10082,14,"{1: [1, 2, 3, 8, 9, 10], 2: [4, 5, 6, 7, 11, 12, 13, 14]}"
10083,10083,192.168.14.168,10083,9,"{1: [1, 2, 3, 4, 5, 6], 2: [7, 8, 9]}"
10084,10084,192.168.14.168,10084,9,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6]}"
10085,10085,192.168.14.168,10085,9,"{1: [1, 2, 3, 4, 5, 6], 2: [7, 8, 9]}"
10086,10086,192.168.14.168,10086,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 13, 14], 3: [7, 8, 15, 16]}"
10087,10087,192.168.14.168,10087,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 7, 8, 13, 14, 15, 16]}"
10088,10088,192.168.14.168,10088,18,"{1: [1, 2, 3, 4, 10, 11, 12, 13], 2: [5, 14], 3: [6, 7, 15, 16, 17], 4: [8, 9, 18]}"
10089,10089,192.168.14.168,10089,25,"{1: [1, 2, 3, 12, 13, 14, 15, 16, 17], 2: [4, 5, 6, 18, 19], 3: [7, 8, 9, 10, 11, 20, 21, 22, 23, 24, 25]}"
10090,10090,192.168.14.168,10090,9,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6]}"
10091,10091,192.168.14.168,10091,11,"{1: [1, 2, 3, 4, 5, 6, 7], 2: [8, 9, 10, 11]}"
10092,10092,192.168.14.168,10092,10,"{1: [1, 2, 3, 8], 2: [4, 5, 6, 7], 3: [9, 10]}"
10093,10093,192.168.14.168,10093,9,"{1: [1, 7, 8, 9], 2: [2, 3], 3: [4, 5, 6]}"
10094,10094,192.168.14.168,10094,9,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6]}"
10095,10095,192.168.14.168,10095,14,"{1: [1, 2, 8, 9], 2: [3, 10], 3: [4, 5, 6, 11, 12, 13], 4: [7, 14]}"
10096,10096,192.168.14.168,10096,9,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6]}"
10097,10097,192.168.14.168,10097,9,"{1: [1, 2, 3, 7, 8, 9], 2: [4, 5, 6]}"
10098,10098,192.168.14.168,10098,14,"{1: [1, 2, 3, 8, 9, 10], 2: [4, 5, 6, 7, 11, 12, 13, 14]}"
10099,10099,192.168.14.168,10099,18,"{1: [1, 2, 3, 4, 10, 11, 12, 13], 2: [5, 6, 7, 8, 9, 14, 15, 16, 17, 18]}"
10100,10100,192.168.14.168,10100,16,"{1: [1, 2, 3, 4, 9, 10, 11, 12], 2: [5, 6, 7, 8, 13, 14, 15, 16]}"
